Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1983,0.0,0.0,0.10333333333333335,0.08416666666666668,0.19801324503311263,0.567403314917127,1.3655660377358483,2.2584362139917697,2.635897435897437,2.9628289473684237,2.6988023952095834,2.503287671232879
1984,0.012903225806451613,0.10333333333333333,0.24835164835164833,0.25537190082644623,0.20986842105263154,0.947252747252747,1.901408450704226,1.9586065573770504,2.187226277372264,2.4495081967213137,2.245074626865674,2.0549180327868872
1985,0.029032258064516127,0.015254237288135592,0.480952380952381,0.3833333333333334,0.30689655172413804,0.9348571428571428,1.8502439024390245,1.7605932203389838,1.6409774436090232,1.800000000000001,1.6348623853211017,1.5064245810055874
1986,1.1774193548387095,0.8983050847457625,0.5888888888888888,0.8775,0.6973509933774834,1.4790055248618779,1.7787735849056607,2.3880658436214017,2.4029304029304055,2.1651315789473706,2.0541916167664693,1.92219178082192
1987,0.25161290322580643,0.18305084745762712,0.77,0.6383333333333332,0.6880794701986753,1.0265193370165744,1.6452830188679237,2.155555555555557,2.1542124542124554,2.386513157894738,2.8865269461077863,2.649041095890413
1988,0.0,1.1383333333333332,0.7725274725274724,0.9611570247933883,0.7671052631578946,1.0813186813186806,2.2230046948356814,2.7459016393442637,3.1503649635036512,2.928524590163936,2.6662686567164195,2.4762295081967234
1989,0.0,0.0,0.6222222222222222,0.475,0.3788079470198676,1.0425414364640877,2.881132075471698,3.147736625514405,3.4164835164835203,3.30822368421053,3.020059880239524,2.775890410958907
1990,0.0,0.0,0.4255555555555556,0.32750000000000007,1.272185430463576,1.7966850828729277,1.9877358490566048,2.70905349794239,2.7937728937728976,2.6884868421052692,2.5251497005988086,2.3106849315068554
1991,0.02903225806451613,0.020338983050847456,0.015555555555555555,0.028333333333333335,0.13178807947019866,1.1718232044198889,1.6047169811320745,2.2275720164609067,2.534065934065936,2.4210526315789487,2.2571856287425187,2.066301369863017
1992,0.0,0.0,0.0,0.06859504132231405,0.3973684210526316,0.9197802197802195,1.2169014084507037,2.17377049180328,2.264598540145987,2.149180327868854,2.2967164179104502,2.102185792349729
1993,0.0,0.0,0.0044444444444444444,0.12583333333333332,0.19735099337748346,0.6353591160220995,1.3636792452830182,1.905349794238682,2.1769230769230767,2.204934210526315,2.0068862275449098,1.9331506849315059
1994,0.5741935483870968,0.4559322033898305,0.29888888888888887,0.49749999999999994,0.4258278145695364,0.886740331491713,1.3169811320754716,1.9646090534979437,1.9366300366300373,2.5226973684210536,2.388323353293414,2.1854794520547953
1995,1.2516129032258063,0.6576271186440678,1.1166666666666665,0.9141666666666666,1.219205298013245,1.7569060773480663,2.5066037735849065,2.9102880658436243,3.1241758241758273,3.8740131578947405,3.606287425149704,3.300000000000003
1996,0.0,0.0,0.0,0.4809917355371901,0.4453947368421053,0.7857142857142854,1.6328638497652581,2.7254098360655745,2.9580291970802945,2.9373770491803306,2.8400000000000016,2.59945355191257
1997,1.8096774193548388,0.9508474576271186,0.7544444444444445,1.055,0.9649006622516554,0.9895027624309387,1.7133333333333338,2.184647302904565,2.2136531365313665,2.1801324503311275,2.0831325301204835,2.017079889807164
1998,0.0,0.0,0.0044444444444444444,0.04833333333333333,0.15298013245033112,0.3640883977900553,1.25,2.1349794238683146,2.403663003663008,2.9088815789473723,2.6589820359281475,2.4331506849315105
1999,0.0,0.030508474576271188,0.02,0.08916666666666666,0.5052980132450331,0.6259668508287289,1.2745283018867917,1.5650205761316878,1.7124542124542124,1.6384868421052632,1.4913173652694611,1.3646575342465754
2000,0.13103448275862067,1.382758620689655,0.9089887640449438,0.788235294117647,0.8228187919463087,2.157865168539326,2.139234449760768,3.8087500000000034,3.5662962962962994,3.2707641196013317,2.9797583081571024,2.7245856353591185
